name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
Train Bandit,"Oct 12, 2017",0.99,53,5,655370,0,20000,
Henosis™,"Jul 23, 2020",5.99,3,0,1355720,0,20000,
Two Weeks in Painland,"Feb 3, 2020",0.0,50,8,1139950,0,20000,
Wartune Reborn,"Feb 26, 2021",0.0,87,49,1469160,50000,100000,
TD Worlds,"Jan 9, 2022",10.99,21,7,1659180,0,20000,
MazM: Jekyll and Hyde,"Apr 2, 2020",14.99,76,6,1178150,0,20000,7.0
Deadlings: Rotten Edition,"Nov 11, 2014",3.99,225,45,320150,50000,100000,4.0
WARSAW,"Oct 2, 2019",23.99,589,212,1026420,20000,50000,5.0
Cthulhu Realms,"Jul 1, 2016",0.0,147,58,485000,50000,100000,3.0
Clockwork Dungeon,"Aug 27, 2021",1.99,5,0,1620060,0,20000,
Royal Battleships,"Apr 6, 2018",2.99,36,11,825930,20000,50000,
Diary of Lucie,"Nov 25, 2020",12.99,100,5,1454010,0,20000,
Hunting Unlimited 3,"Nov 6, 2020",9.99,17,0,1330820,0,20000,
Hero of the Kingdom II,"Feb 20, 2015",7.99,2046,120,346560,100000,200000,5.0
KHIO,"Jul 24, 2020",9.99,3,1,1362670,0,20000,
Steam Squad,"Jul 28, 2016",17.99,61,29,290870,20000,50000,
Project: R.E.B.O.O.T 2,"Jan 27, 2017",2.99,29,28,575760,20000,50000,6.0
Aerofly FS 2 Flight Simulator,"Nov 20, 2017",37.49,1490,408,434030,100000,200000,
Turtle Lu,"Mar 22, 2018",2.99,4,10,810740,20000,50000,
Kanjozoku Game レーサー,"Jul 16, 2022",5.99,392,57,2073470,20000,50000,
PowersVR,"Oct 10, 2020",9.99,37,22,589250,0,20000,
Draw Your Game,"Aug 10, 2017",4.99,18,50,677880,20000,50000,
Pathfinders: Memories,"Feb 16, 2021",2.99,38,4,1294780,0,20000,
Bright Days in Quarantine,"Jul 18, 2020",1.99,24,5,1342850,0,20000,
Dupio,"Mar 6, 2018",11.99,23,18,793990,0,20000,
Terror In The Atomic Desert,"Mar 22, 2019",2.99,8,4,955490,0,20000,
Unhappy Ever After,"Jan 20, 2017",0.99,16,10,552350,20000,50000,
March Of Soldiers,"Jul 1, 2020",1.99,1,0,1195610,0,20000,
Bepuzzled Kittens Jigsaw Puzzle,"Jun 11, 2019",1.99,7,2,1095380,0,20000,
Dream Detective,"Dec 4, 2019",7.99,16,8,1158910,0,20000,
